Province,District,Year,Poverty Rate (%)
Balochistan,Awaran,2004,57
Balochistan,Awaran,2014,57
Balochistan,Barkhan,2004,61
Balochistan,Barkhan,2014,59
Balochistan,Chagai,2004,74
Balochistan,Chagai,2014,58
Balochistan,Dera Bugti,2014,68
Balochistan,Gwadar,2004,49
Balochistan,Gwadar,2014,47
Balochistan,Harnai,2004,66
Balochistan,Harnai,2014,65
Balochistan,Jaffarabad,2004,49
Balochistan,Jaffarabad,2014,64
Balochistan,Jhal Magsi,2004,71
Balochistan,Jhal Magsi,2014,65
Balochistan,Kachhi,2004,64
Balochistan,Kachhi,2014,57
Balochistan,Kalat,2004,52
Balochistan,Kalat,2014,44
Balochistan,Kech,2004,51
Balochistan,Kharan,2004,60
Balochistan,Kharan,2014,58
Balochistan,Khuzdar,2004,55
Balochistan,Khuzdar,2014,49
Balochistan,Killa Abdullah,2004,65
Balochistan,Killa Abdullah,2014,66
Balochistan,Killa Saifullah,2004,66
Balochistan,Killa Saifullah,2014,46
Balochistan,Kohlu,2014,61
Balochistan,Las Bela,2004,65
Balochistan,Las Bela,2014,53
Balochistan,Lehri,2004,66
Balochistan,Lehri,2014,49
Balochistan,Loralai,2004,64
Balochistan,Loralai,2014,51
Balochistan,Mastung,2004,53
Balochistan,Mastung,2014,50
Balochistan,Musakhel,2004,67
Balochistan,Musakhel,2014,53
Balochistan,Nasirabad,2004,62
Balochistan,Nasirabad,2014,61
Balochistan,Nushki,2004,74
Balochistan,Nushki,2014,47
Balochistan,Panjgur,2004,58
Balochistan,Pishin,2004,71
Balochistan,Pishin,2014,54
Balochistan,Quetta,2004,46
Balochistan,Quetta,2014,41
Balochistan,Sheerani,2004,71
Balochistan,Sheerani,2014,59
Balochistan,Sibi,2004,66
Balochistan,Sibi,2014,49
Balochistan,Sohbatpur,2004,49
Balochistan,Sohbatpur,2014,64
Balochistan,Washuk,2004,60
Balochistan,Washuk,2014,64
Balochistan,Zhob,2004,71
Balochistan,Zhob,2014,54
Balochistan,Ziarat,2004,67
Balochistan,Ziarat,2014,64
