Province,District,Year,Poverty Rate (%)
Khyber Pakhtunkhwa,Abbottabad,2004,51
Khyber Pakhtunkhwa,Abbottabad,2014,12
Khyber Pakhtunkhwa,Bannu,2004,60
Khyber Pakhtunkhwa,Bannu,2014,28
Khyber Pakhtunkhwa,Batagram,2004,72
Khyber Pakhtunkhwa,Batagram,2014,32
Khyber Pakhtunkhwa,Buner,2004,75
Khyber Pakhtunkhwa,Buner,2014,42
Khyber Pakhtunkhwa,Charsadda,2004,64
Khyber Pakhtunkhwa,Charsadda,2014,28
Khyber Pakhtunkhwa,Chitral,2004,61
Khyber Pakhtunkhwa,Chitral,2014,15
Khyber Pakhtunkhwa,Dera Ismail Khan,2004,61
Khyber Pakhtunkhwa,Dera Ismail Khan,2014,33
Khyber Pakhtunkhwa,Hangu,2004,62
Khyber Pakhtunkhwa,Hangu,2014,28
Khyber Pakhtunkhwa,Haripur,2004,55
Khyber Pakhtunkhwa,Haripur,2014,16
Khyber Pakhtunkhwa,Karak,2004,63
Khyber Pakhtunkhwa,Karak,2014,25
Khyber Pakhtunkhwa,Kohat,2004,61
Khyber Pakhtunkhwa,Kohat,2014,27
Khyber Pakhtunkhwa,Kohistan,2004,78
Khyber Pakhtunkhwa,Kohistan,2014,36
Khyber Pakhtunkhwa,Lakki Marwat,2004,66
Khyber Pakhtunkhwa,Lakki Marwat,2014,28
Khyber Pakhtunkhwa,Lower Dir,2004,55
Khyber Pakhtunkhwa,Lower Dir,2014,29
Khyber Pakhtunkhwa,Malakand PA,2004,63
Khyber Pakhtunkhwa,Malakand PA,2014,22
Khyber Pakhtunkhwa,Mansehra,2004,65
Khyber Pakhtunkhwa,Mansehra,2014,17
Khyber Pakhtunkhwa,Mardan,2004,66
Khyber Pakhtunkhwa,Mardan,2014,27
Khyber Pakhtunkhwa,Nowshera,2004,60
Khyber Pakhtunkhwa,Nowshera,2014,22
Khyber Pakhtunkhwa,Peshawar,2004,54
Khyber Pakhtunkhwa,Peshawar,2014,23
Khyber Pakhtunkhwa,Shangla,2004,71
Khyber Pakhtunkhwa,Shangla,2014,32
Khyber Pakhtunkhwa,Swabi,2004,64
Khyber Pakhtunkhwa,Swabi,2014,19
Khyber Pakhtunkhwa,Swat,2004,58
Khyber Pakhtunkhwa,Swat,2014,29
Khyber Pakhtunkhwa,Tank,2004,63
Khyber Pakhtunkhwa,Tank,2014,39
Khyber Pakhtunkhwa,Tor Ghar,2004,65
Khyber Pakhtunkhwa,Tor Ghar,2014,38
Khyber Pakhtunkhwa,Upper Dir,2004,74
Khyber Pakhtunkhwa,Upper Dir,2014,35
