Province,District,Year,Poverty Rate (%)
Sindh,Badin,2004,47
Sindh,Badin,2014,47
Sindh,Dadu,2004,52
Sindh,Dadu,2014,36
Sindh,Ghotki,2004,45
Sindh,Ghotki,2014,46
Sindh,Hyderabad,2004,41
Sindh,Hyderabad,2014,28
Sindh,Jacobabad,2004,52
Sindh,Jacobabad,2014,48
Sindh,Jamshoro,2004,52
Sindh,Jamshoro,2014,42
Sindh,Karachi City,2004,28
Sindh,Karachi City,2014,17
Sindh,Kashmore,2004,52
Sindh,Kashmore,2014,48
Sindh,Khairpur,2004,53
Sindh,Khairpur,2014,42
Sindh,Larkana,2004,55
Sindh,Larkana,2014,35
Sindh,Matiari,2004,41
Sindh,Matiari,2014,41
Sindh,Mirpur Khas,2004,43
Sindh,Mirpur Khas,2014,41
Sindh,Naushahro Feroze,2004,52
Sindh,Naushahro Feroze,2014,33
Sindh,Qambar Shahdadkot,2004,55
Sindh,Qambar Shahdadkot,2014,48
Sindh,Sanghar,2004,45
Sindh,Sanghar,2014,44
Sindh,Shaheed Benazirabad,2004,50
Sindh,Shaheed Benazirabad,2014,41
Sindh,Shikarpur,2004,51
Sindh,Shikarpur,2014,44
Sindh,Sujawal,2004,51
Sindh,Sujawal,2014,52
Sindh,Sukkur,2004,48
Sindh,Sukkur,2014,36
Sindh,Tando Allah Yar,2004,41
Sindh,Tando Allah Yar,2014,46
Sindh,Tando Muhammad Khan,2004,41
Sindh,Tando Muhammad Khan,2014,49
Sindh,Tharparkar,2004,45
Sindh,Tharparkar,2014,51
Sindh,Thatta,2004,51
Sindh,Thatta,2014,51
Sindh,Umerkot,2004,43
Sindh,Umerkot,2014,46
